olay_id,tarih,mro_id,olay_turu,risk_seviyesi,kesinti_dak,maddi_kayip_TL,kvkk_ozel,shy145_72sa_uygunluk,mitre_tactic,mitre_technique,ek19_kontroller,etkilenen_hizmet_sayisi
CDSA-MRO-SDG-000014,2024-02-21,MRO-TR-066,usb_zararli_yazilim,4,1939,124446,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,3
CDSA-MRO-SDG-000015,2025-04-22,MRO-TR-052,usb_zararli_yazilim,3,477,340261,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,4
CDSA-MRO-SDG-000016,2025-04-10,MRO-TR-797,fidye_yazilimi,4,1617,321553,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,3
CDSA-MRO-SDG-000017,2024-04-20,MRO-TR-631,kalibrasyon_butunluk_ihlali,4,1903,236103,EVET,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,3
CDSA-MRO-SDG-000018,2025-05-10,MRO-TR-662,kalibrasyon_butunluk_ihlali,4,1716,216515,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,2
CDSA-MRO-SDG-000019,2024-01-18,MRO-TR-310,yetki_iptal_eksikligi,3,452,161162,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000020,2024-10-07,MRO-EU-232,oltalama_saldirisi,3,1131,327520,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000021,2025-03-29,MRO-TR-436,kalibrasyon_butunluk_ihlali,4,1277,417941,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,2
CDSA-MRO-SDG-000022,2024-06-01,MRO-TR-186,hesap_ele_gecirme,4,348,277608,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,2
CDSA-MRO-SDG-000023,2025-05-18,MRO-TR-902,is_emri_sahteciligi,4,705,145972,HAYIR,HAYIR,TA0040,T1565,6.3.1|3.2.2|1.4.2,3
CDSA-MRO-SDG-000024,2025-12-27,MRO-TR-858,yetki_iptal_eksikligi,2,1209,435379,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000025,2025-05-16,MRO-TR-420,konfigurasyon_hatasi,3,1088,280925,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000026,2024-03-17,MRO-TR-544,sosyal_muhendislik,3,531,204132,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,2
CDSA-MRO-SDG-000027,2024-07-03,MRO-TR-023,usb_zararli_yazilim,3,153,303604,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,3
CDSA-MRO-SDG-000028,2024-10-08,MRO-EU-514,is_emri_sahteciligi,4,1768,414319,HAYIR,HAYIR,TA0040,T1565,6.3.1|3.2.2|1.4.2,4
CDSA-MRO-SDG-000029,2024-09-20,MRO-TR-651,sosyal_muhendislik,3,633,483038,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,4
CDSA-MRO-SDG-000030,2024-11-05,MRO-TR-558,portal_erisim_ihlali,4,345,132513,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000031,2024-03-03,MRO-TR-677,sosyal_muhendislik,3,537,135445,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,2
CDSA-MRO-SDG-000032,2024-08-31,MRO-EU-649,portal_erisim_ihlali,4,69,324506,EVET,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,2
CDSA-MRO-SDG-000033,2025-01-25,MRO-TR-832,konfigurasyon_hatasi,3,567,54661,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000034,2025-11-17,MRO-TR-944,hesap_ele_gecirme,4,837,96193,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000035,2025-08-02,MRO-TR-291,ddos_saldirisi,2,216,403010,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,3
CDSA-MRO-SDG-000036,2025-06-23,MRO-TR-590,yetki_iptal_eksikligi,3,149,251715,EVET,HAYIR,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000037,2025-10-17,MRO-TR-242,usb_zararli_yazilim,3,157,389281,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000038,2024-06-26,MRO-TR-630,hesap_ele_gecirme,4,1587,440257,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,2
CDSA-MRO-SDG-000039,2025-08-17,MRO-TR-696,konfigurasyon_hatasi,3,1586,484932,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000040,2025-10-24,MRO-TR-197,konfigurasyon_hatasi,3,767,168619,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000041,2024-10-29,MRO-TR-788,ot_sistem_sizmasi,3,1528,359817,HAYIR,HAYIR,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000042,2025-06-24,MRO-TR-860,fidye_yazilimi,4,1723,204151,EVET,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,2
CDSA-MRO-SDG-000043,2024-05-29,MRO-EU-589,yetki_iptal_eksikligi,3,666,316741,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000044,2024-01-02,MRO-TR-734,ot_sistem_sizmasi,4,492,255334,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000045,2024-10-27,MRO-EU-301,kalibrasyon_butunluk_ihlali,4,1654,231317,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,2
CDSA-MRO-SDG-000046,2024-11-09,MRO-TR-543,ddos_saldirisi,4,1430,201412,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,4
CDSA-MRO-SDG-000047,2024-10-12,MRO-TR-810,tedarik_zinciri_kontaminasyonu,4,77,66285,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000048,2025-08-09,MRO-TR-355,shadow_it,2,1701,174054,EVET,HAYIR,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000049,2024-10-17,MRO-TR-465,is_emri_sahteciligi,4,390,131487,HAYIR,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,4
CDSA-MRO-SDG-000050,2025-03-01,MRO-TR-510,oltalama_saldirisi,4,432,275803,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000051,2025-06-01,MRO-TR-383,oltalama_saldirisi,3,456,72140,EVET,HAYIR,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000052,2025-01-09,MRO-EU-592,kalibrasyon_butunluk_ihlali,4,1204,144079,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,4
CDSA-MRO-SDG-000053,2024-06-23,MRO-EU-363,ot_sistem_sizmasi,4,1435,93175,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000054,2025-11-28,MRO-TR-848,yetki_iptal_eksikligi,3,1443,399111,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000055,2025-12-13,MRO-TR-904,shadow_it,2,203,482027,EVET,HAYIR,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000056,2024-02-07,MRO-EU-877,portal_erisim_ihlali,4,1076,305742,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000057,2025-03-13,MRO-EU-227,konfigurasyon_hatasi,3,188,340390,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000058,2025-04-10,MRO-TR-468,ot_sistem_sizmasi,3,740,430260,EVET,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000059,2025-11-19,MRO-TR-855,shadow_it,2,0,284504,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000060,2025-04-19,MRO-EU-327,oltalama_saldirisi,4,1101,128664,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000061,2024-11-24,MRO-TR-571,shadow_it,2,1869,302154,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,3
CDSA-MRO-SDG-000062,2024-09-18,MRO-TR-316,shadow_it,2,1402,205618,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,3
CDSA-MRO-SDG-000063,2025-05-24,MRO-EU-501,fidye_yazilimi,4,1729,388919,HAYIR,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,3
CDSA-MRO-SDG-000064,2025-10-19,MRO-TR-537,ot_sistem_sizmasi,4,109,426997,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000065,2024-12-28,MRO-TR-921,hesap_ele_gecirme,4,953,31821,EVET,HAYIR,TA0006,T1110,1.1.1|1.4.2|13.2.1,2
CDSA-MRO-SDG-000066,2024-07-02,MRO-EU-964,shadow_it,2,2006,263292,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000067,2024-03-28,MRO-TR-885,tedarik_zinciri_kontaminasyonu,4,1664,191334,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,2
CDSA-MRO-SDG-000068,2025-02-01,MRO-EU-390,tedarik_zinciri_kontaminasyonu,4,1728,162434,EVET,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000069,2024-12-08,MRO-TR-839,kalibrasyon_butunluk_ihlali,4,1801,230696,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,4
CDSA-MRO-SDG-000070,2025-11-20,MRO-EU-595,portal_erisim_ihlali,4,1314,142096,EVET,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,3
CDSA-MRO-SDG-000071,2025-01-18,MRO-TR-694,yetki_iptal_eksikligi,3,1578,14073,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000072,2024-09-06,MRO-TR-541,kalibrasyon_butunluk_ihlali,4,1194,110487,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,2
CDSA-MRO-SDG-000073,2025-02-01,MRO-TR-635,is_emri_sahteciligi,4,1267,157657,EVET,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,4
CDSA-MRO-SDG-000074,2024-01-10,MRO-TR-779,oltalama_saldirisi,3,480,284459,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000075,2025-03-11,MRO-TR-976,yetki_iptal_eksikligi,3,1707,157183,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000076,2025-11-26,MRO-TR-749,portal_erisim_ihlali,4,1590,256505,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000077,2025-12-15,MRO-TR-054,is_emri_sahteciligi,4,173,134344,EVET,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,3
CDSA-MRO-SDG-000078,2025-12-17,MRO-EU-577,tedarik_zinciri_kontaminasyonu,4,1390,341854,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,3
CDSA-MRO-SDG-000079,2025-03-26,MRO-TR-803,oltalama_saldirisi,3,446,396259,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000080,2025-05-21,MRO-EU-631,sosyal_muhendislik,3,455,48222,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,3
CDSA-MRO-SDG-000081,2025-06-07,MRO-TR-344,hesap_ele_gecirme,3,299,388817,EVET,HAYIR,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000082,2024-03-06,MRO-TR-586,kalibrasyon_butunluk_ihlali,4,1169,221555,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,4
CDSA-MRO-SDG-000083,2024-02-23,MRO-TR-107,tedarik_zinciri_kontaminasyonu,4,1661,402836,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000084,2025-03-05,MRO-TR-109,ot_sistem_sizmasi,4,315,75502,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000085,2025-02-20,MRO-TR-125,hesap_ele_gecirme,4,796,58127,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,2
CDSA-MRO-SDG-000086,2024-08-15,MRO-TR-036,oltalama_saldirisi,3,1654,153504,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000087,2025-10-24,MRO-TR-786,konfigurasyon_hatasi,3,915,34183,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000088,2024-06-12,MRO-TR-340,konfigurasyon_hatasi,3,1378,322910,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000089,2024-05-13,MRO-TR-131,sosyal_muhendislik,3,477,163978,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,4
CDSA-MRO-SDG-000090,2025-08-04,MRO-TR-505,ot_sistem_sizmasi,4,1225,392393,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000091,2025-01-19,MRO-TR-211,sosyal_muhendislik,3,1026,84817,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,4
CDSA-MRO-SDG-000092,2025-07-21,MRO-EU-397,is_emri_sahteciligi,4,1452,473439,HAYIR,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,3
CDSA-MRO-SDG-000093,2025-01-13,MRO-TR-828,ot_sistem_sizmasi,4,116,97867,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000094,2025-11-30,MRO-EU-485,ot_sistem_sizmasi,3,1647,140765,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000095,2024-05-27,MRO-TR-841,oltalama_saldirisi,3,1419,402665,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000096,2024-03-08,MRO-TR-767,oltalama_saldirisi,3,995,92714,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000097,2025-01-30,MRO-TR-575,portal_erisim_ihlali,3,1661,309168,EVET,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,3
CDSA-MRO-SDG-000098,2024-11-01,MRO-TR-744,konfigurasyon_hatasi,3,1153,378562,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,3
CDSA-MRO-SDG-000099,2025-10-15,MRO-EU-595,yetki_iptal_eksikligi,3,1927,249597,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000100,2025-05-27,MRO-TR-393,is_emri_sahteciligi,3,1393,338268,HAYIR,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,3
CDSA-MRO-SDG-000101,2025-01-17,MRO-TR-020,oltalama_saldirisi,3,691,88987,EVET,HAYIR,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000102,2024-05-14,MRO-EU-121,ot_sistem_sizmasi,4,48,223934,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,4
CDSA-MRO-SDG-000103,2025-05-24,MRO-TR-369,fidye_yazilimi,4,455,427622,EVET,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,3
CDSA-MRO-SDG-000104,2024-04-28,MRO-EU-030,kalibrasyon_butunluk_ihlali,4,1587,99854,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,3
CDSA-MRO-SDG-000105,2024-05-13,MRO-TR-052,portal_erisim_ihlali,4,1068,400306,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000106,2025-01-22,MRO-TR-778,shadow_it,2,558,381374,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000107,2025-10-10,MRO-TR-859,konfigurasyon_hatasi,4,1082,283738,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000108,2024-06-30,MRO-TR-516,konfigurasyon_hatasi,3,381,363941,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000109,2025-12-28,MRO-TR-244,shadow_it,2,689,393229,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000110,2025-12-13,MRO-TR-006,shadow_it,2,1436,89943,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,3
CDSA-MRO-SDG-000111,2024-06-07,MRO-EU-941,ddos_saldirisi,3,1923,356296,HAYIR,EVET,TA0040,T1498,12.2.1|14.1.1|5.1.1,4
CDSA-MRO-SDG-000112,2025-11-29,MRO-TR-663,konfigurasyon_hatasi,3,1912,285997,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000113,2024-01-25,MRO-TR-842,kalibrasyon_butunluk_ihlali,3,727,152779,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,3
CDSA-MRO-SDG-000114,2025-06-30,MRO-TR-199,yetki_iptal_eksikligi,3,1489,123017,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000115,2025-08-03,MRO-TR-982,hesap_ele_gecirme,4,1714,298860,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000116,2024-08-14,MRO-TR-375,usb_zararli_yazilim,2,1253,291430,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,3
CDSA-MRO-SDG-000117,2025-08-26,MRO-TR-106,tedarik_zinciri_kontaminasyonu,4,664,468945,EVET,HAYIR,TA0001,T1195,15.1.1|18.2.1|12.3.7,4
CDSA-MRO-SDG-000118,2024-10-07,MRO-TR-677,yetki_iptal_eksikligi,3,1185,194569,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,2
CDSA-MRO-SDG-000119,2024-04-26,MRO-EU-676,ot_sistem_sizmasi,4,943,421958,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,2
CDSA-MRO-SDG-000120,2025-04-09,MRO-TR-604,shadow_it,3,176,420911,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,4
CDSA-MRO-SDG-000121,2025-12-14,MRO-EU-803,kalibrasyon_butunluk_ihlali,4,938,363530,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,4
CDSA-MRO-SDG-000122,2024-09-16,MRO-TR-954,shadow_it,3,742,322313,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000123,2025-06-17,MRO-EU-292,is_emri_sahteciligi,4,1333,392578,HAYIR,HAYIR,TA0040,T1565,6.3.1|3.2.2|1.4.2,3
CDSA-MRO-SDG-000124,2025-08-19,MRO-TR-392,yetki_iptal_eksikligi,3,1688,260384,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,3
CDSA-MRO-SDG-000125,2025-11-24,MRO-EU-365,konfigurasyon_hatasi,3,1617,117980,EVET,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,2
CDSA-MRO-SDG-000126,2025-11-23,MRO-TR-691,hesap_ele_gecirme,3,1385,170656,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,4
CDSA-MRO-SDG-000127,2024-11-29,MRO-TR-181,ot_sistem_sizmasi,4,1791,426967,HAYIR,EVET,TA0001,T1091,12.3.5|6.2.1|1.3.1|15.1.1,3
CDSA-MRO-SDG-000128,2025-05-13,MRO-TR-629,usb_zararli_yazilim,4,1190,410703,HAYIR,HAYIR,TA0001,T1091,1.3.1|4.2.1|12.4.1,3
CDSA-MRO-SDG-000129,2024-05-28,MRO-TR-960,fidye_yazilimi,4,1731,114491,EVET,EVET,TA0040,T1486,9.1.1|14.1.1|5.2.1,4
CDSA-MRO-SDG-000130,2024-01-27,MRO-EU-446,sosyal_muhendislik,3,1619,318282,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,2
CDSA-MRO-SDG-000131,2024-11-13,MRO-TR-849,shadow_it,2,1138,136874,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,3
CDSA-MRO-SDG-000132,2025-03-08,MRO-TR-016,tedarik_zinciri_kontaminasyonu,4,1098,230485,HAYIR,EVET,TA0001,T1195,15.1.1|18.2.1|12.3.7,3
CDSA-MRO-SDG-000133,2024-11-15,MRO-TR-763,shadow_it,2,974,87678,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,3
CDSA-MRO-SDG-000134,2024-09-16,MRO-EU-811,sosyal_muhendislik,3,674,195358,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,4
CDSA-MRO-SDG-000135,2024-11-20,MRO-TR-465,hesap_ele_gecirme,4,1353,430994,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,2
CDSA-MRO-SDG-000136,2025-01-23,MRO-EU-719,oltalama_saldirisi,3,1935,350402,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,2
CDSA-MRO-SDG-000137,2025-09-12,MRO-EU-426,konfigurasyon_hatasi,2,86,303276,HAYIR,EVET,TA0007,T1133,12.4.1|3.1.1|18.1.1,4
CDSA-MRO-SDG-000138,2025-08-13,MRO-TR-744,egitim_sistem_manipulasyonu,3,953,237600,EVET,HAYIR,TA0009,T1565,4.3.1|7.4.1|3.2.1,3
CDSA-MRO-SDG-000139,2024-01-17,MRO-EU-840,oltalama_saldirisi,3,1839,262598,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000140,2024-11-03,MRO-TR-345,sosyal_muhendislik,3,1667,416910,EVET,EVET,TA0006,T1556,4.1.1|1.6.1|1.4.2,4
CDSA-MRO-SDG-000141,2024-02-20,MRO-TR-639,oltalama_saldirisi,3,617,329279,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
CDSA-MRO-SDG-000142,2024-07-23,MRO-EU-278,hesap_ele_gecirme,3,353,32603,EVET,EVET,TA0006,T1110,1.1.1|1.4.2|13.2.1,3
CDSA-MRO-SDG-000143,2024-01-09,MRO-TR-242,oltalama_saldirisi,3,1368,367651,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,3
CDSA-MRO-SDG-000144,2024-10-09,MRO-TR-931,is_emri_sahteciligi,4,633,371789,HAYIR,HAYIR,TA0040,T1565,6.3.1|3.2.2|1.4.2,2
CDSA-MRO-SDG-000145,2024-11-21,MRO-TR-189,is_emri_sahteciligi,3,1144,74981,HAYIR,EVET,TA0040,T1565,6.3.1|3.2.2|1.4.2,3
CDSA-MRO-SDG-000146,2024-05-20,MRO-TR-532,portal_erisim_ihlali,4,576,242457,HAYIR,EVET,TA0001,T1556,1.4.2|13.2.1|1.6.1,4
CDSA-MRO-SDG-000147,2024-02-10,MRO-TR-332,shadow_it,2,1099,462605,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000148,2024-06-16,MRO-TR-013,yetki_iptal_eksikligi,3,348,8549,EVET,EVET,TA0001,T1078,1.1.4|7.2.1|1.4.2,4
CDSA-MRO-SDG-000149,2025-07-10,MRO-EU-587,usb_zararli_yazilim,3,1802,89643,HAYIR,EVET,TA0001,T1091,1.3.1|4.2.1|12.4.1,2
CDSA-MRO-SDG-000150,2025-08-15,MRO-TR-630,kalibrasyon_butunluk_ihlali,4,138,281387,HAYIR,EVET,TA0009,T1565,3.2.1|6.1.2|1.4.2,4
CDSA-MRO-SDG-000151,2025-10-09,MRO-EU-984,shadow_it,2,1713,215123,EVET,EVET,TA0010,T1567,2.1.1|1.5.1|4.2.1,2
CDSA-MRO-SDG-000152,2024-12-12,MRO-TR-723,oltalama_saldirisi,4,1892,458381,EVET,EVET,TA0001,T1566,1.2.1|4.1.1|1.4.2,4
